customer_id,email,phone,age,price,start_date,end_date,birth_date
CUST_1000,user_0@example.com,9876543200,58,361.44,2026-01-01,2026-01-08,1970-01-01
CUST_1001,user_1@example.com,9876543201,48,399.28,2026-01-02,2026-01-09,1970-01-31
CUST_1002,user_2@example.com,9876543202,34,310.86,2026-01-03,2026-01-10,1970-03-02
CUST_1003,user_3@example.com,9876543203,-10,464.62,2026-01-04,2026-01-11,1970-04-01
CUST_1004,user_4@example.com,9876543204,27,332.52,2026-01-05,2026-01-12,1970-05-01
,user_5@example.com,9876543205,40,459.18,2026-01-06,2026-01-13,1970-05-31
CUST_1006,user_6@example.com,9876543206,58,428.02,2026-01-07,2026-01-14,1970-06-30
CUST_1007,user_7@example.com,9876543207,180,235.74,2026-01-08,2026-01-15,1970-07-30
CUST_1008,user_8@example.com,9876543208,42,65.8,2026-01-09,2026-01-16,1970-08-29
CUST_1009,user_9@example.com,9876543209,30,197.99,2026-01-10,2026-01-17,1970-09-28
CUST_1010,user_10@example.com,9876543210,30,341.04,2026-01-11,2026-01-18,1970-10-28
CUST_1011,user_11@example.com,9876543211,43,339.64,2026-01-12,2026-01-19,1970-11-27
CUST_1012,user_12@example.com,9876543212,55,303.82,2026-01-13,2026-01-20,2050-06-15
CUST_1013,user_13@example.com,9876543213,59,151.87,2026-01-14,2026-01-21,1971-01-26
CUST_1014,user_14@example.com,9876543214,43,289.4,2026-01-15,2026-01-22,1971-02-25
CUST_1015,user_15@example.com,9876543215,22,-150.0,2026-01-16,2026-01-23,1971-03-27
CUST_1016,user_16@example.com,9876543216,41,486.42,2026-01-17,2026-01-24,1971-04-26
CUST_1017,user_17@example.com,9876543217,21,427.48,2026-01-18,2026-01-25,1971-05-26
CUST_1018,,9876543218,43,366.43,2026-01-19,2026-01-26,1971-06-25
CUST_1019,user_19@example.com,9876543219,63,133.27,2026-01-20,2026-01-27,1971-07-25
CUST_1020,user_20@example.com,9876543220,49,142.91,2026-01-21,2026-01-28,1971-08-24
CUST_1021,user_21@example.com,9876543221,57,39.41,2026-01-22,2026-01-29,1971-09-23
CUST_1022,user_22@example.com,9876543222,21,-45.5,2026-01-23,2026-01-30,1971-10-23
CUST_1023,user_23@example.com,9876543223,40,73.23,2026-01-24,2026-01-31,1971-11-22
CUST_1024,user_24@example.com,9876543224,52,230.88,2026-01-25,2026-02-01,1971-12-22
CUST_1025,invalid_email_string.com,9876543225,31,116.83,2026-01-26,2026-02-02,1972-01-21
CUST_1026,user_26@example.com,9876543226,41,449.97,2026-01-27,2026-02-03,1972-02-20
CUST_1027,user_27@example.com,9876543227,63,248.18,2026-01-28,2026-02-04,1972-03-21
CUST_1028,user_28@example.com,9876543228,44,290.37,2026-01-29,2026-02-05,1972-04-20
CUST_1029,user_29@example.com,9876543229,46,353.85,2026-01-30,2026-02-06,1972-05-20
CUST_1030,user_30@example.com,12345,61,86.88,2026-01-31,2026-02-07,1972-06-19
CUST_1031,user_31@example.com,9876543231,47,310.12,2026-02-01,2026-02-08,1972-07-19
CUST_1032,user_32@example.com,9876543232,35,279.12,2026-02-02,2026-02-09,1972-08-18
CUST_1033,user_33@example.com,9876543233,34,117.47,2026-02-03,2026-02-10,1972-09-17
CUST_1034,user_34@example.com,9876543234,63,472.57,2026-02-04,2026-02-11,1972-10-17
CUST_1035,user_35@example.com,9876543235,22,307.46,2026-02-05,2026-02-12,1972-11-16
CUST_1036,user_36@example.com,9876543236,56,353.5,2026-02-06,2026-02-13,1972-12-16
CUST_1037,user_37@example.com,9876543237,26,442.62,2026-02-07,2026-02-14,1973-01-15
CUST_1038,user_38@example.com,9876543238,40,319.69,2026-02-08,2026-02-15,1973-02-14
CUST_1039,user_39@example.com,9876543239,28,161.9,2026-02-09,2026-02-16,1973-03-16
CUST_1040,user_40@example.com,9876543240,58,70.64,2026-05-10,2026-05-01,1973-04-15
CUST_1041,user_41@example.com,9876543241,37,239.14,2026-02-11,2026-02-18,1973-05-15
CUST_1042,user_42@example.com,9876543242,23,124.85,2026-02-12,2026-02-19,1973-06-14
CUST_1043,user_43@example.com,9876543243,44,219.92,2026-02-13,2026-02-20,1973-07-14
CUST_1044,user_44@example.com,9876543244,33,443.97,2026-02-14,2026-02-21,1973-08-13
CUST_1045,user_45@example.com,9876543245,28,175.69,2026-06-20,2026-06-15,1973-09-12
CUST_1046,user_46@example.com,9876543246,45,78.6,2026-02-16,2026-02-23,1973-10-12
CUST_1047,user_47@example.com,9876543247,21,191.02,2026-02-17,2026-02-24,1973-11-11
CUST_1048,user_48@example.com,9876543248,39,455.28,2026-02-18,2026-02-25,1973-12-11
CUST_1049,user_49@example.com,9876543249,47,150.62,2026-02-19,2026-02-26,1974-01-10
CUST_1050,user_50@example.com,9876543250,26,330.89,2026-02-20,2026-02-27,1974-02-09
CUST_1051,user_51@example.com,9876543251,63,20.25,2026-02-21,2026-02-28,1974-03-11
CUST_1052,user_52@example.com,9876543252,27,189.23,2026-02-22,2026-03-01,1974-04-10
CUST_1053,user_53@example.com,9876543253,54,166.3,2026-02-23,2026-03-02,1974-05-10
CUST_1054,user_54@example.com,9876543254,33,99.03,2026-02-24,2026-03-03,1974-06-09
CUST_1055,user_55@example.com,9876543255,36,276.36,2026-02-25,2026-03-04,1974-07-09
CUST_1056,user_56@example.com,9876543256,55,252.72,2026-02-26,2026-03-05,1974-08-08
CUST_1057,user_57@example.com,9876543257,59,352.37,2026-02-27,2026-03-06,1974-09-07
CUST_1058,user_58@example.com,9876543258,23,149.32,2026-02-28,2026-03-07,1974-10-07
CUST_1059,user_59@example.com,9876543259,21,137.18,2026-03-01,2026-03-08,1974-11-06
CUST_1060,user_60@example.com,9876543260,25,100.78,2026-03-02,2026-03-09,1974-12-06
CUST_1061,user_61@example.com,9876543261,61,125.01,2026-03-03,2026-03-10,1975-01-05
CUST_1062,user_62@example.com,9876543262,23,287.89,2026-03-04,2026-03-11,1975-02-04
CUST_1063,user_63@example.com,9876543263,48,213.84,2026-03-05,2026-03-12,1975-03-06
CUST_1064,user_64@example.com,9876543264,37,51.15,2026-03-06,2026-03-13,1975-04-05
CUST_1065,user_65@example.com,9876543265,45,141.88,2026-03-07,2026-03-14,1975-05-05
CUST_1066,user_66@example.com,9876543266,63,138.5,2026-03-08,2026-03-15,1975-06-04
CUST_1067,user_67@example.com,9876543267,53,354.23,2026-03-09,2026-03-16,1975-07-04
CUST_1068,user_68@example.com,9876543268,29,361.89,2026-03-10,2026-03-17,1975-08-03
CUST_1069,user_69@example.com,9876543269,55,91.08,2026-03-11,2026-03-18,1975-09-02
CUST_1070,user_70@example.com,9876543270,33,498.92,2026-03-12,2026-03-19,1975-10-02
CUST_1071,user_71@example.com,9876543271,50,148.05,2026-03-13,2026-03-20,1975-11-01
CUST_1072,user_72@example.com,9876543272,34,488.78,2026-03-14,2026-03-21,1975-12-01
CUST_1073,user_73@example.com,9876543273,27,217.3,2026-03-15,2026-03-22,1975-12-31
CUST_1074,user_74@example.com,9876543274,33,35.86,2026-03-16,2026-03-23,1976-01-30
CUST_1075,user_75@example.com,9876543275,42,185.63,2026-03-17,2026-03-24,1976-02-29
