user_id,name,email,role
U001,Allison Hill,allison.hillgmail.com,manager
U002,Noah Rhodes,noah.rhodes@gmail.com,manager
U003,Angie Henderson,angie.hendersongmail.com,manager
U004,DANIEL WAGNER,daniel.wagner@yahoo.com,admin
U005,  Cristian Santos   ,cristian.santos@gmail.com,
U006,Connie Lawrence,connie.lawrence@gmail.com,rep
U007,Abigail Shaffer,abigail.shaffer@gmail.com,rep
U008,Gina Moore,gina.moore@yahoo.com,rep
U009,Gabrielle Davis,gabrielle.davis@yahoo.com,rep
U010,Ryan Munoz,ryan.munoz@yahoo.com,rep
U011,Monica Herrera,monica.herreragmail.com,rep
U012,JAMIE ARNOLD,jamie.arnold@hotmail.com,rep
U013,Lisa Hensley,lisa.hensley@yahoo.com,rep
U014,Michele Williams,michele.williams@gmail.com,rep
